date,artist,front_person_age,song,discogs_genre,length_sec,simplified_key,lyrical_topic,explicit,discogs_genre_cleaned,year,decade,lyrical_topic_split
1972-07-08 00:00:00+00:00,Bill Withers,34.0,Lean on Me,Funk/Soul,258,C,Pain;Sadness;Friendship,0,Funk/Soul,1972,1970,"['Pain', 'Sadness', 'Friendship']"
1972-07-29 00:00:00+00:00,Gilbert O'Sullivan,25.0,Alone Again (Naturally),Rock,217,Multiple Keys,Sadness;Death,0,Rock,1972,1970,"['Sadness', 'Death']"
1972-08-26 00:00:00+00:00,Looking Glass,24.0,Brandy (You're a Fine Girl),Rock;Pop,186,E,Lost Love,0,Rock,1972,1970,['Lost Love']
1972-09-16 00:00:00+00:00,Three Dog Night,30.33333333333333,Black and White,Rock;Pop,206,B,Coexistence;Respect;Love;Racism,0,Rock,1972,1970,"['Coexistence', 'Respect', 'Love', 'Racism']"
1972-09-23 00:00:00+00:00,Mac Davis,30.0,"Baby, Don't Get Hooked on Me","Pop;Folk, World, & Country",183,A,Lust/Sex;Bad Behavior;Lost Love,0,Pop,1972,1970,"['Lust/Sex', 'Bad Behavior', 'Lost Love']"
1972-10-14 00:00:00+00:00,Michael Jackson,14.0,Ben,Funk/Soul,167,F,Friendship,0,Funk/Soul,1972,1970,['Friendship']
1972-10-21 00:00:00+00:00,Chuck Berry,46.0,My Ding-a-Ling,Rock,256,Eb,Masturbation,1,Rock,1972,1970,['Masturbation']
1972-11-04 00:00:00+00:00,Johnny Nash,32.0,I Can See Clearly Now,Reggae;Funk/Soul,164,Multiple Keys,Better Times;Hope;Redemption,0,Reggae,1972,1970,"['Better Times', 'Hope', 'Redemption']"
1972-12-02 00:00:00+00:00,The Temptations,27.75,Papa Was a Rollin' Stone,Funk/Soul,419,Bbm,Death;Family;Bad Behavior;Bad Relationships,0,Funk/Soul,1972,1970,"['Death', 'Family', 'Bad Behavior', 'Bad Relationships']"
1972-12-09 00:00:00+00:00,Helen Reddy,31.0,I Am Woman,Pop,205,Multiple Keys,Empowerment,0,Pop,1972,1970,['Empowerment']
