date,artist,front_person_age,song,length_sec,key,lyrical_topic,explicit,genre,year,decade,bpm
1982-09-04 00:00:00+00:00,Steve Miller Band,38,Abracadabra,219,Am,Lust/Sex,0,Rock,1982,1980,127.0
1982-09-11 00:00:00+00:00,Chicago,37,Hard to Say I'm Sorry,221,Multiple Keys,Lost Love,0,Rock,1982,1980,145.0
1982-10-02 00:00:00+00:00,John Cougar,30,Jack and Diane,254,A,Love;Getting Older;Growing Up,0,Rock,1982,1980,104.0
1982-10-30 00:00:00+00:00,Men at Work,29,Who Can It Be Now?,201,E,Paranoia,0,Rock,1982,1980,128.0
1982-11-06 00:00:00+00:00,Joe Cocker & Jennifer Warnes,36,Up Where We Belong,233,Multiple Keys,Love,0,Rock,1982,1980,139.0
1982-11-27 00:00:00+00:00,Lionel Richie,33,Truly,200,Db,Love,0,Funk/Soul,1982,1980,68.0
1982-12-11 00:00:00+00:00,Toni Basil,39,Mickey,216,E,Lust/Sex;Lost Love,0,Rock,1982,1980,93.0
1982-12-18 00:00:00+00:00,Daryl Hall & John Oates,35,Maneater,273,D,Bad Relationships;Lost Love,0,Electronic,1982,1980,89.0
1983-01-15 00:00:00+00:00,Men at Work,29,Down Under,220,Bm,Home,0,Rock,1983,1980,107.0
1983-02-05 00:00:00+00:00,Toto,35,Africa,261,E,Appreciation;Escape;Love,0,Rock,1983,1980,92.0
1983-02-19 00:00:00+00:00,Patti Austin & James Ingram,31,"Baby, Come to Me",215,Multiple Keys,Lust/Sex,0,Electronic,1983,1980,90.0
